=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.08.28 21:18:28 =~=~=~=~=~=~=~=~=~=~=~=
T,38257,119,1932,55874,1444,32798,142
T,38258,119,1932,55873,1444,32798,142
T,38259,119,1932,55873,1444,32798,142
T,38260,119,1932,55873,1444,32798,142
T,38261,119,1932,55873,1444,32798,142
T,38262,119,1932,55872,1444,32798,142
T,38263,120,1936,56063,1444,32798,142
T,38264,120,1936,56063,1444,32798,144
T,38265,119,1932,55870,1444,32798,144
T,38266,120,1936,56067,1444,32798,142
T,38267,119,1932,55875,1444,32798,142
T,38268,121,1940,56259,1444,32798,142
T,38269,119,1932,55874,1444,32798,142
T,38270,120,1936,56066,1444,32798,142
T,38271,120,1936,56067,1444,32798,142
T,38272,120,1936,56065,1444,32798,142
T,38273,119,1932,55873,1444,32798,142
T,38274,120,1936,56065,1444,32798,142
T,38275,119,1932,55873,1444,32798,142
T,38276,120,1936,56064,1444,32798,142
T,38277,119,1932,55871,1444,32798,142
T,38278,120,1936,56062,1444,32798,144
T,38279,120,1936,56065,1444,32798,144
T,38280,120,1936,56066,1444,32798,142
T,38281,119,1932,55874,1444,32798,142
T,38282,120,1936,56067,1444,32798,142
T,38283,121,1940,56258,1444,32798,142
T,38284,121,1940,56257,1444,32798,142
T,38285,120,1936,56067,1444,32798,142
T,38286,122,1944,56449,1444,32798,142
T,38287,121,1940,56257,1444,32798,142
T,38288,121,1940,56257,1444,32798,142
T,38289,121,1940,56257,1444,32798,142
T,38290,122,1944,56450,1444,32798,142
T,38291,121,1940,56256,1444,32798,142
T,38292,121,1940,56262,1444,32798,142
T,38293,121,1940,56259,1444,32798,142
T,38294,121,1940,56261,1444,32798,142
T,38295,120,1936,56067,1444,32798,142
T,38296,121,1940,56259,1444,32798,142
T,38297,121,1940,56257,1444,32798,142
T,38298,122,1944,56450,1444,32798,142
T,38299,122,1944,56449,144T,38375,118,1928,55680,1444,32798,142
T,38376,118,1928,55681,1444,32798,142
T,38377,118,1928,55680,1444,32798,142
T,38378,119,1932,55872,1444,32798,142
T,38379,118,1928,55680,1444,32798,142
T,38380,118,1928,55679,1444,32798,144
T,38381,119,1932,55870,1444,32798,144
T,38382,118,1928,55683,1444,32798,142
T,38383,117,1924,55490,1444,32798,142
T,38384,123,1948,56642,1444,32798,142
T,38385,118,1928,55682,1444,32798,142
T,38386,118,1928,55681,1444,32798,142
T,38387,118,1928,55682,1444,32798,142
T,38388,119,1932,55872,1444,32798,142
T,38389,118,1928,55679,1444,32798,142
T,38390,118,1928,55679,1444,32798,142
T,38391,118,1928,55680,1444,32798,142
T,38392,118,1928,55679,1444,32798,142
T,38393,118,1928,55678,1444,32798,144
T,38394,118,1928,55677,1444,32798,144
T,38395,118,1928,55682,1444,32798,142
T,38396,118,1928,55682,1444,32798,142
T,38397,118,1928,55681,1444,32798,142
T,38398,118,1928,55682,1444,32798,142
T,38399,118,1928,55683,1444,32798,142
T,38400,118,1928,55682,1444,32798,142
T,38401,118,1928,55680,1444,32798,142
T,38402,120,1936,56064,1444,32798,142
T,38403,118,1928,55680,1444,32798,142
T,38404,119,1932,55872,1444,32798,142
T,38405,119,1932,55872,1444,32798,142
T,38406,120,1936,56063,1444,32798,144
T,38407,120,1936,56063,1444,32798,144
T,38408,120,1936,56065,1444,32798,144
T,38409,121,1940,56259,1444,32798,142
T,38410,121,1940,56259,1444,32798,142
T,38411,121,1940,56259,1444,32798,142
T,38412,121,1940,56259,1444,32798,142
T,38413,121,1940,56257,1444,32798,142
T,38414,122,1944,56450,1444,32798,142
T,38415,121,1940,56257,1444,32798,142
T,38416,122,1944,56449,1444,32798,142
T,38417,121,1940,56257,1444,32798,142
T,38418,122,1944,56450,1444,32798,142
T,38419,122,1944,56450,1444,32798,142
T,38420,122,1944,56447,1444,32798,144
T,38421,123,1948,56644,1444,32798,142
T,38422,117,1924,55489,1444,32798,142
T,38423,124,1952,56836,1444,32798,142
T,38424,117,1924,55486,1444,32798,142
T,38425,121,1940,56260,1444,32798,142
T,38426,122,1944,56451,1444,32798,142
T,38427,122,1944,56450,1444,32798,142
T,38428,122,1944,56450,1444,32798,142
T,38429,122,1944,56450,1444,32798,142
T,38430,123,1948,56642,1444,32798,142
T,38431,118,1928,55682,1444,32798,142
T,38432,117,1924,55489,1444,32798,142
T,38433,122,1944,56451,1444,32798,142
T,38434,122,1944,56447,1444,32798,144
T,38435,121,1940,56256,1444,32798,144
T,38436,121,1940,56261,1444,32798,142
T,38437,121,1940,56259,1444,32798,142
T,38438,122,1944,56451,1444,32798,142
T,38439,121,1940,56258,1444,32798,142
T,38440,121,1940,56258,1444,32798,142
T,38441,120,1936,56065,1444,32798,142
T,38442,121,1940,56257,1444,32798,142
T,38443,120,1936,56065,1444,32798,142
T,38444,121,1940,56257,1444,32798,142
T,38445,120,1936,56063,1444,32798,144
T,38446,121,1940,56254,1444,32798,144
T,38447,121,1940,56259,1444,32798,142
T,38448,121,1940,56259,1444,32798,142
T,38449,121,1940,56259,1444,32798,142
T,38450,121,1940,56259,1444,32798,142
T,38451,121,1940,56259,1444,32798,142
T,38452,121,1940,56257,1444,32798,142
T,38453,120,1936,56065,1444,32798,142
T,38454,121,1940,56257,1444,32798,142
T,38455,120,1936,56065,1444,32798,142
T,38456,121,1940,56257,1444,32798,142
T,38457,120,1936,56065,1444,32798,142
T,38458,121,1940,56255,1444,32798,144
T,38459,120,1936,56063,1444,32798,144
T,38460,121,1940,56259,1444,32798,142
T,38461,120,1936,56066,1444,32798,142
T,38462,121,1940,56259,1444,32798,142
T,38463,121,1940,56259,1444,32798,142
T,38464,121,1940,56259,1444,32798,142
T,38465,121,1940,56260,1444,32798,142
